colectividad,n_mesas,pearson_mesa,p_pearson_mesa,spearman_mesa,p_spearman_mesa,pearson_municipio,n_municipios
PARTIDO DE LA U,7115,0.3466,0.0,0.1113,0.0,0.9529,123
ALIANZA VERDE,15006,0.3058,0.0,0.2119,0.0,0.9726,123
CONSERVADOR-SALV NACIONAL,12953,0.2758,0.0,0.2677,0.0,0.9345,123
PARTIDO LIBERAL,10641,0.2217,0.0,0.1568,0.0,0.9269,123
CENTRO DEMOCRATICO,12234,0.1849,0.0,0.2665,0.0,0.8772,123
CR-NUEVO LIBERALISMO,9939,0.1842,0.0,0.1434,0.0,0.952,123
SIN_HOMOLOGACION,2008,0.0236,0.291,0.1282,0.0,0.9545,121
