colectividad,n_obs,n_municipios,beta_hlm,beta_ols_fe,beta_ols_simple,ic95_low_hlm,ic95_high_hlm,tau2_intercept,tau2_slope,sigma2_residual,icc,r2_hlm_aprox,r2_ols_fe,r2_ols_simple,wape_deterministico,wape_ols_fe,wape_hlm,mejora_wape_pct,aic_hlm,bic_hlm,convergencia
ALIANZA VERDE,15027,123,0.3507,0.2304,0.5328,-0.9611,1.6625,1021.3063,54.994735,131.1026,0.8862,0.5482,0.5314,0.0932,37.0651,8.973,8.8403,1.48,,,OK
CENTRO DEMOCRATICO,12319,123,0.7159,0.2974,0.3923,0.5379,0.8939,118.1577,0.494716,178.6358,0.3981,0.3486,0.2939,0.0303,34.5242,11.8847,11.3903,4.16,,,OK
CONSERVADOR-SALV NACIONAL,12970,123,0.1689,0.1189,0.2661,0.124,0.2137,39.6578,0.027421,22.8077,0.6349,0.538,0.5124,0.0763,11.7456,4.3047,4.1899,2.67,,,OK
CR-NUEVO LIBERALISMO,10114,123,0.2686,0.0678,0.1831,-0.1448,0.682,121.5171,5.25282,17.6075,0.8734,0.5194,0.4977,0.0336,9.8642,3.9512,3.8761,1.9,,,OK
PARTIDO DE LA U,7982,123,0.0617,0.0231,0.1885,-0.2918,0.4152,65.9482,3.618436,9.6676,0.8721,0.6001,0.594,0.1207,10.3283,3.7321,3.6903,1.12,,,OK
PARTIDO LIBERAL,10735,123,0.0975,0.0808,0.2129,-0.6848,0.8798,103.4855,18.970211,29.1427,0.7803,0.5308,0.521,0.0503,13.5072,4.6563,4.6214,0.75,,,OK
