colectividad,n,beta_clr,tau2_slope_clr,r2_hlm_dom,r2_hlm_clr,wape_hlm_dom,wape_hlm_clr,mejora_clr_pct,aic_clr,bic_clr
ALIANZA VERDE,15027,-0.0103,,0.7369,0.3629,5.6807,9.998,-76.0,,
CENTRO DEMOCRATICO,12319,-0.0958,,0.543,0.2112,5.7927,13.8574,-139.22,,
CONSERVADOR-SALV NACIONAL,12970,-0.0303,,0.6608,0.4647,2.5816,4.7326,-83.32,,
CR-NUEVO LIBERALISMO,10114,-0.029,,0.6345,0.3867,3.0334,4.4038,-45.18,,
PARTIDO DE LA U,7982,-0.0307,,0.5167,0.3911,4.8416,4.3479,10.2,,
PARTIDO LIBERAL,10735,-0.028,,0.716,0.5106,3.3301,5.1954,-56.01,,
