colectividad,beta_OLS,R2_OLS,R2adj_OLS,beta_hlm,R2_HLM,WAPE_HLM,icc,tau2_slope,beta_clr,R2_CLR,WAPE_CLR,mejora_clr_pct,se_bootstrap,ratio_se,b_sesgo_general,ic_boot_low,ic_boot_high
ALIANZA VERDE,0.2304,0.5314,0.5275,0.3507,0.5482,8.8403,0.8862,54.994735,-0.0103,0.3629,9.998,-76.0,0.0191,1.41,0.0134,0.4901,0.5724
ALMA-OXIGENO,0.0,,,,,,,,,,,,,,,,
CENTRO DEMOCRATICO,0.2974,0.2939,0.2867,0.7159,0.3486,11.3903,0.3981,0.494716,-0.0958,0.2112,13.8574,-139.22,0.0439,2.2,0.0391,0.3137,0.4917
CONSERVADOR-SALV NACIONAL,0.1189,0.5124,0.5078,0.1689,0.538,4.1899,0.6349,0.027421,-0.0303,0.4647,4.7326,-83.32,0.0146,1.8,0.0122,0.2416,0.3011
CR-NUEVO LIBERALISMO,0.0678,0.4977,0.4915,0.2686,0.5194,3.8761,0.8734,5.25282,-0.029,0.3867,4.4038,-45.18,0.0214,2.2,0.0191,0.1445,0.2304
PARTIDO DE LA U,0.0231,0.594,0.5877,0.0617,0.6001,3.6903,0.8721,3.618436,-0.0307,0.3911,4.3479,10.2,0.0113,1.98,0.0098,0.1656,0.2107
PARTIDO LIBERAL,0.0808,0.521,0.5154,0.0975,0.5308,4.6214,0.7803,18.970211,-0.028,0.5106,5.1954,-56.01,0.0101,1.13,0.0047,0.1955,0.2325
SIN_HOMOLOGACION,0.0701,0.3892,0.3499,,,,,,,,,,,,,,
