colectividad,beta_ols,se_ols,se_bootstrap,ratio_se,b_sesgo_general,ic_ols_low,ic_ols_high,ic_boot_low,ic_boot_high,ic_amplitud_ols,ic_amplitud_boot,n_replicas,beta_dist_mean,beta_dist_sd,beta_dist_skew
ALIANZA VERDE,0.5328,0.0136,0.0191,1.41,0.0134,0.5062,0.5594,0.4901,0.5724,0.0532,0.0823,100,0.5312,0.0191,-0.089
CENTRO DEMOCRATICO,0.3923,0.02,0.0439,2.2,0.0391,0.3531,0.4315,0.3137,0.4917,0.0784,0.1781,100,0.3984,0.0439,0.139
CONSERVADOR-SALV NACIONAL,0.2661,0.0081,0.0146,1.8,0.0122,0.2501,0.282,0.2416,0.3011,0.0319,0.0594,100,0.2659,0.0146,0.556
CR-NUEVO LIBERALISMO,0.1831,0.0098,0.0214,2.2,0.0191,0.164,0.2023,0.1445,0.2304,0.0383,0.0859,100,0.1832,0.0214,0.236
PARTIDO DE LA U,0.1885,0.0057,0.0113,1.98,0.0098,0.1774,0.1997,0.1656,0.2107,0.0223,0.0451,100,0.1891,0.0113,0.203
PARTIDO LIBERAL,0.2129,0.0089,0.0101,1.13,0.0047,0.1954,0.2304,0.1955,0.2325,0.035,0.037,100,0.2123,0.0101,0.081
