amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700178,PACHAVITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,315,301,266.0,0.8444444444444444
0700073,CHITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,571,516,479.0,0.8388791593695272
0700088,FIRAVITOBA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,666,629,558.0,0.8378378378378378
0700250,SANTANA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,964,885,805.0,0.8350622406639004
0700223,RONDON,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,268,257,223.0,0.832089552238806
0700259,SATIVANORTE,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,431,414,356.0,0.8259860788863109
0700241,SAN LUIS DE GACENO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,424,411,348.0,0.8207547169811321
0700289,SUTAMARCHAN,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1684,1543,1377.0,0.8176959619952494
0700319,TOPAGA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,324,316,263.0,0.8117283950617284
0700205,PISBA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,382,365,309.0,0.8089005235602095
0700136,LA UVITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,467,459,367.0,0.7858672376873662
0700304,TIBANA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1141,1073,884.0,0.7747589833479404
0700238,SAN JOSE DE PARE,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,753,718,583.0,0.7742363877822045
0700160,MONIQUIRA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,3040,2769,2338.0,0.7690789473684211
0700043,CERINZA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,623,586,475.0,0.7624398073836276
0700226,SABOYA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1244,1116,930.0,0.747588424437299
0700034,BUSBANZA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,284,275,210.0,0.7394366197183099
0700055,CORRALES,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,292,284,212.0,0.726027397260274
0700283,SOTAQUIRA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1117,1062,755.0,0.67591763652641
0700334,UMBITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1583,1515,1041.0,0.6576121288692356
0700064,CHINAVITA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,625,595,411.0,0.6576
0700091,FLORESTA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,1752,1710,1046.0,0.5970319634703196
0700247,SAN MATEO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,464,437,274.0,0.5905172413793104
0700181,PAIPA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,7171,6872,4161.0,0.5802538000278901
0700166,NOBSA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,2900,2664,1674.0,0.5772413793103448
0700253,SANTA ROSA DE VITERBO,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,2136,2060,1136.0,0.5318352059925093
0700292,SUTATENZA,ALIANZA VERDE,5,PARTIDO ALIANZA VERDE,256,247,134.0,0.5234375
0700001,TUNJA,ALMA-OXIGENO,137,ALMA - OXÍGENO,689,593,0.0,0.0
0700007,ALMEIDA,ALMA-OXIGENO,137,ALMA - OXÍGENO,3,3,0.0,0.0
0700008,AQUITANIA (PUEBLOVIEJO),ALMA-OXIGENO,137,ALMA - OXÍGENO,67,53,0.0,0.0
0700010,ARCABUCO,ALMA-OXIGENO,137,ALMA - OXÍGENO,21,17,0.0,0.0
0700013,BELEN,ALMA-OXIGENO,137,ALMA - OXÍGENO,37,33,0.0,0.0
0700016,BERBEO,ALMA-OXIGENO,137,ALMA - OXÍGENO,2,2,0.0,0.0
0700019,BETEITIVA,ALMA-OXIGENO,137,ALMA - OXÍGENO,13,11,0.0,0.0
0700022,BOAVITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,19,15,0.0,0.0
0700025,BOYACA,ALMA-OXIGENO,137,ALMA - OXÍGENO,10,10,0.0,0.0
0700028,BRICEÑO,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,5,0.0,0.0
0700031,BUENAVISTA,ALMA-OXIGENO,137,ALMA - OXÍGENO,18,16,0.0,0.0
0700034,BUSBANZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,3,3,0.0,0.0
0700037,CALDAS,ALMA-OXIGENO,137,ALMA - OXÍGENO,7,6,0.0,0.0
0700040,CAMPOHERMOSO,ALMA-OXIGENO,137,ALMA - OXÍGENO,10,9,0.0,0.0
0700043,CERINZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,16,14,0.0,0.0
0700046,CIENEGA,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,14,0.0,0.0
0700049,COMBITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,18,17,0.0,0.0
0700052,COPER,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,15,0.0,0.0
0700055,CORRALES,ALMA-OXIGENO,137,ALMA - OXÍGENO,6,5,0.0,0.0
0700058,COVARACHIA,ALMA-OXIGENO,137,ALMA - OXÍGENO,11,9,0.0,0.0
0700059,CUBARA,ALMA-OXIGENO,137,ALMA - OXÍGENO,12,11,0.0,0.0
0700060,CUCAITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,11,0.0,0.0
0700061,CUITIVA,ALMA-OXIGENO,137,ALMA - OXÍGENO,5,4,0.0,0.0
0700064,CHINAVITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,6,0.0,0.0
0700067,CHIQUINQUIRA,ALMA-OXIGENO,137,ALMA - OXÍGENO,204,162,0.0,0.0
0700068,CHIQUIZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,11,10,0.0,0.0
0700070,CHISCAS,ALMA-OXIGENO,137,ALMA - OXÍGENO,4,3,0.0,0.0
0700073,CHITA,ALMA-OXIGENO,137,ALMA - OXÍGENO,18,18,0.0,0.0
