colectividad,n,MAE_deterministico,RMSE_deterministico,WAPE_deterministico,R2_deterministico,WAPE_OLS_FE,WAPE_HLM,R2_OLS_FE,R2_HLM,mejora_HLM_vs_OLS_%,ICC,tau2_slope
ALIANZA VERDE,15027,30.167,34.071,36.365,-3.01,8.973,8.8403,0.5314,0.5482,1.48,0.8862,54.994735
CENTRO DEMOCRATICO,12319,24.895,29.26,32.6723,-2.1689,11.8847,11.3903,0.2939,0.3486,4.16,0.3981,0.494716
CONSERVADOR-SALV NACIONAL,12970,8.947,10.91,12.4263,-1.445,4.3047,4.1899,0.5124,0.538,2.67,0.6349,0.027421
CR-NUEVO LIBERALISMO,10114,6.237,8.094,9.2725,-0.7988,3.9512,3.8761,0.4977,0.5194,1.9,0.8734,5.25282
PARTIDO DE LA U,7982,2.476,4.553,6.4469,0.1372,3.7321,3.6903,0.594,0.6001,1.12,0.8721,3.618436
PARTIDO LIBERAL,10735,9.951,12.341,13.5666,-1.465,4.6563,4.6214,0.521,0.5308,0.75,0.7803,18.970211
